,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
danceability,1.0,0.1343254834689731,0.10862608966979848,-0.1715333309537537,-0.18560624973011564,-0.1316168566857274,0.4773412353128837,-0.05044987143121911
energy,0.1343254834689731,1.0,0.1425088678087147,-0.7339063209687006,-0.18187921111249006,0.184795522295953,0.2589339951838104,0.24785050980261852
speechiness,0.10862608966979848,0.1425088678087147,1.0,-0.0021863357894030366,-0.08961576482388979,0.20521905734843077,0.036634582881903986,0.017273223330484134
acousticness,-0.1715333309537537,-0.7339063209687006,-0.0021863357894030366,1.0,0.10402711936289785,-0.020700360822696343,-0.10707017977230612,-0.20822414719631155
instrumentalness,-0.18560624973011564,-0.18187921111249006,-0.08961576482388979,0.10402711936289785,1.0,-0.07989258226235166,-0.3243123284885751,-0.05033040132787435
liveness,-0.1316168566857274,0.184795522295953,0.20521905734843077,-0.020700360822696343,-0.07989258226235166,1.0,0.019086254807101112,0.0005997673113037409
valence,0.4773412353128837,0.2589339951838104,0.036634582881903986,-0.10707017977230612,-0.3243123284885751,0.019086254807101112,1.0,0.0782730676394731
tempo,-0.05044987143121911,0.24785050980261852,0.017273223330484134,-0.20822414719631155,-0.05033040132787435,0.0005997673113037409,0.0782730676394731,1.0
